symbol,color1,color2,color3
PFE,[229.  18.  88.],[ 99. 192. 175.],[247. 248. 249.]
PM,[ 78. 162. 218.],[255. 255. 255.],[217. 233. 246.]
PSX,[205.  38.  35.],[254. 253. 253.],[-0. -0. -0.]
PNW,[120.  89. 189.],[245. 244. 243.],[ 3.  3. 44.]
PXD,[68. 93. 55.],[168. 177. 163.],[253. 253. 253.]
PNC,[255.  85.   3.],[248. 249. 253.],[ -0.  46. 205.]
POOL,[103. 175. 180.],[222. 225. 227.],[171. 211. 217.]
PPG,[ 90. 114. 139.],[243. 238. 220.],[134. 155. 143.]
PPL,[ 27. 131. 197.],[255. 255. 255.],[ 39.  48. 126.]
PFG,[  1. 153. 202.],[248. 249. 250.],[86. 91. 92.]
PG,[  0.  55. 177.],[  0.  55. 177.],[  0.  55. 177.]
PGR,[  0.  83. 186.],[255. 255. 255.],[210. 218. 238.]
PLD,[239. 231. 233.],[228. 228. 227.],[227. 232. 235.]
PRU,[  0. 120. 196.],[  0. 120. 196.],[  0. 120. 196.]
PTC,[ 10. 253.  10.],[246. 248. 246.],[ 12.  12. 135.]
PEG,[239. 144.  99.],[7. 7. 7.],[252. 249. 249.]
PSA,[157. 183. 197.],[238. 240. 242.],[198. 217. 220.]
PHM,[224. 158.  50.],[  7.  57. 100.],[251. 240.  86.]
PVH,[174. 145. 131.],[250. 248. 246.],[ 84.  89. 100.]
QRVO,[2. 2. 2.],[138. 138. 138.],[254. 254. 254.]
PWR,[237.  26.  44.],[35. 31. 32.],[253. 205. 130.]
QCOM,[ 44.  81. 220.],[253. 253. 255.],[181. 189. 240.]
DGX,[186. 202.  51.],[254. 254. 251.],[ 74. 118.  55.]
RL,[7. 7. 7.],[138. 138. 138.],[252. 252. 252.]
RJF,[ 0. 41. 73.],[ 0. 41. 73.],[ 0. 41. 73.]
RTX,[235.  10.  29.],[227. 131. 135.],[255. 254. 254.]
O,[238.  27.  46.],[242. 176.  80.],[252. 250. 244.]
REG,[228.  78.  11.],[239. 163. 141.],[255. 255. 255.]
REGN,[193. 163. 126.],[ 92.  98. 100.],[63. 48. 30.]
RF,[132. 189.   0.],[ 96. 134.  29.],[101. 141.  27.]
RSG,[232.  18.  66.],[216.  26.  74.],[  0.  66. 125.]
RMD,[231.  34.  53.],[ 40. 157. 212.],[242. 243. 244.]
RHI,[243. 243. 243.],[255. 255. 255.],[251. 251. 251.]
ROK,[196.  62.  72.],[185. 169. 169.],[253. 252. 252.]
ROL,[251. 108.  59.],[27. 26. 58.],[148. 153. 168.]
ROP,[201. 121.  70.],[ 91. 132. 156.],[245. 245. 240.]
ROST,[ 70. 140. 198.],[253. 254. 254.],[215. 233. 242.]
RCL,[  6.  73. 191.],[10. 14. 24.],[ 93. 126. 152.]
SPGI,[254. 254. 254.],[255. 255. 255.],[245. 245. 245.]
CRM,[  1. 158. 219.],[255. 255. 255.],[134. 193. 231.]
SBAC,[204.   3.   1.],[237. 228. 231.],[  2.  48. 109.]
SLB,[  0.  51. 102.],[  0.  51. 102.],[  0.  51. 102.]
STX,[252. 250. 231.],[237. 254. 252.],[254. 253. 253.]
SEE,[212. 200.  54.],[  1. 127. 132.],[252. 252. 248.]
SRE,[224.  16.  73.],[  0.  72. 156.],[ 32.  67. 148.]
NOW,[128. 182. 161.],[21. 37. 45.],[41. 62. 64.]
SHW,[239.  65.  53.],[254. 253. 254.],[  3. 104. 177.]
SPG,[246. 246. 246.],[241. 241. 241.],[236. 236. 236.]
SWKS,[ 87. 155. 192.],[195. 215. 229.],[255. 255. 255.]
SNA,[255. 211.   0.],[203. 243. 215.],[251. 214.  44.]
SO,[92. 78. 79.],[246. 246. 247.],[151. 148. 151.]
LUV,[239. 106.  27.],[224. 223. 225.],[ 49.  79. 187.]
SWK,[239. 209.  11.],[63. 54. 30.],[255. 253. 244.]
SBUX,[233. 199. 133.],[54. 59. 41.],[255. 252. 252.]
STT,[  0. 103. 177.],[252. 255. 254.],[208. 223. 237.]
STE,[227. 244. 254.],[254. 254. 254.],[246. 253. 250.]
SYK,[254. 254. 254.],[121. 121. 121.],[3. 3. 3.]
SIVB,[  0. 161. 228.],[  0.  80. 111.],[  0.  91. 127.]
SYF,[255. 197.   3.],[50. 50. 50.],[254. 254. 253.]
SNPS,[ 88.  36. 127.],[253. 252. 253.],[159. 139. 179.]
SYY,[  1. 136. 216.],[ 75. 185.  43.],[242. 248. 247.]
TMUS,[237.  -0. 140.],[198. 101. 149.],[153. 155. 158.]
TROW,[ 33. 196. 221.],[112. 111. 116.],[255. 255. 255.]
TTWO,[ 16.  64. 159.],[23. 25. 53.],[198. 180. 115.]
TPR,[246. 233. 142.],[186. 179. 221.],[216. 169. 176.]
TGT,[204.   1.   1.],[254. 252. 252.],[217.  98.  98.]
TEL,[166. 154. 152.],[251. 245. 245.],[59. 59. 59.]
TDY,[ 15. 117. 192.],[133. 173. 215.],[245. 248. 252.]
TFX,[40. 53. 83.],[144. 150. 157.],[222. 224. 223.]
TER,[  0.  66. 147.],[210. 215. 229.],[255. 255. 255.]
TSLA,[204.   0.   0.],[246. 246. 246.],[82. 80. 80.]
TXN,[204.   1.   1.],[0. 0. 0.],[247. 241. 241.]
TXT,[  0.  82. 144.],[  0.  82. 144.],[  0.  82. 144.]
TMO,[208.  64.  41.],[ 84. 127. 186.],[35. 42. 60.]
TJX,[195.  18.  46.],[232. 184. 188.],[255. 255. 255.]
TSCO,[210.   0.   0.],[36.  0.  0.],[0. 0. 0.]
TT,[116.  59. 227.],[2. 2. 2.],[254. 254. 254.]
