Symbol,Name,Sector,Industry,Headquarters_Location,lat,lng,color1
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"Brooklyn, New York",40.6781784,-73.94415790000001,d5651d
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",39.0997265,-94.5785667,038cda
ES,Eversource Energy,Utilities,Multi-Utilities,"Hartford, Connecticut",41.76580429999999,-72.6733723,00aced
RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",32.2945837,-64.7858887,5a7ca1
EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",41.8781136,-87.62979820000001,f77917
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",47.6062095,-122.33207079999998,020299
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",47.6062095,-122.33207079999998,ed3f37
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",40.760779299999996,-111.89104740000002,2f8ac3
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",32.814017699999994,-96.9488945,ee1729
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",47.6062095,-122.33207079999998,b20838
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",37.4529598,-122.1817252,3b5998
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",44.0553908,-91.6663523,07639f
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",39.0839973,-77.1527578,b3a789
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",35.1495343,-90.0489801,ea0f14
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",30.3321838,-81.655651,99c953
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",39.103118200000004,-84.5120196,164399
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",41.081444700000006,-81.51900529999999,1b5dac
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",37.7749295,-122.4194155,d4d2a7
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",43.0605671,-88.1064787,fe6603
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",33.9411081,-84.2137443,fc7336
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",39.9525839,-75.1652215,e83524
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",42.3222599,-83.1763145,3a88c5
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",37.368829999999996,-122.03634960000001,c7c7c7
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",47.9789848,-122.2020795,7bac76
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",42.171136499999996,-87.8445119,e5a653
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York, New York",40.7127753,-74.0059728,a34219
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York, New York",40.7127753,-74.0059728,a34219
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",37.562991700000005,-122.32552539999999,dea154
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",33.4483771,-112.07403729999999,01aeef
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",37.7749295,-122.4194155,00285e
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",47.6958897,8.6380489,007cc3
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",41.0534302,-73.53873409999999,036498
GNRC,Generac Holdings,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",43.0116784,-88.2314813,c97946
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",38.882334,-77.17109140000001,132c8e
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",42.360082500000004,-71.0588801,3199d8
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",44.9917149,-93.36000340000001,e21f26
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",42.331427000000005,-83.0457538,132c8e
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",33.7489954,-84.3879824,fdb826
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",37.558546500000006,-122.2710788,c80037
GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas",33.1983388,-96.63893420000001,024e85
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",33.7489954,-84.3879824,0e4881
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",40.7127753,-74.0059728,7399c6
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",42.2586342,-87.840625,be2122
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",29.7604267,-95.36980279999999,ed171f
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",36.0998596,-80.24421600000001,ed2224
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",41.76580429999999,-72.6733723,802428
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",41.878710999999996,-71.38255579999999,0688c0
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",36.1626638,-86.78160159999999,137bac
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California",33.770050399999995,-118.1937395,ca0e12
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",40.793432200000005,-73.4151214,8994d0
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",40.2859239,-76.6502468,400009
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",40.7127753,-74.0059728,028a5e
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",29.7604267,-95.36980279999999,00b388
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",38.9187222,-77.2310925,022a4d
OGN,Organon Co,Health Care,Pharmaceuticals,,,,
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",42.3459271,-71.55228740000001,86c1bf
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",33.7489954,-84.3879824,ef6425
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",35.2270869,-80.8431267,c3c8cc
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",43.6666296,-92.9746367,d22229
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",38.984652000000004,-77.09470920000001,c7c7c7
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",40.440624799999995,-79.9958864,18a9c2
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",37.441883399999995,-122.14301950000001,0196d6
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",38.252664700000004,-85.7584557,c1176b
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",39.9611755,-82.9987942,66bd29
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",37.087082099999996,-76.4730122,e6b53b
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",42.2586342,-87.840625,dea154
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",43.6770252,-70.3711617,c7c7c7
INFO,IHS Markit,Industrials,Research & Consulting Services,"London, United Kingdom",51.5073509,-0.12775830000000002,828f89
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",42.0778065,-87.8223368,6e0f1a
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",32.715738,-117.1610838,9a7a5b
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",39.744655,-75.54839090000002,ce3a3a
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",43.0389025,-87.9064736,4f292c
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",37.354107899999995,-121.9552356,0883d2
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",33.7489954,-84.3879824,74c7e7
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",41.1264849,-73.71401949999999,0530ad
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",35.1495343,-90.0489801,151313
IPG,Interpublic Group,Communication Services,Advertising,"New York, New York",40.7127753,-74.0059728,1477c6
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",40.7127753,-74.0059728,007fc7
INTU,Intuit Inc.,Information Technology,Application Software,"Mountain View, California",37.3860517,-122.08385109999999,97a8b7
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California",37.368829999999996,-122.03634960000001,0f0f0f
