,Symbol,Name,Sector,Industry,Founded,Date first added,Headquarters Location
305,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,1889.0,1900.1.0,"Hunt Valley, Maryland"
306,MXIM,Maxim Integrated,Information Technology,Semiconductors,1983.0,2018.12.3,"San Jose, California"
307,MCD,McDonald's,Consumer Discretionary,Restaurants,1940.0,1970.6.30,"Chicago, Illinois"
308,MCK,McKesson Corporation,Health Care,Health Care Distributors,1833.0,1900.1.0,"Irving, Texas"
309,MDT,Medtronic,Health Care,Health Care Equipment,1949.0,1986.10.31,"Dublin, Ireland"
310,MRK,Merck & Co,Health Care,Pharmaceuticals,1891.0,1957.3.4,"Kenilworth, New Jersey"
311,MET,MetLife,Financials,Life & Health Insurance,1868.0,1900.1.0,"New York, New York"
312,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1945.0,2016.9.6,"Columbus, Ohio"
313,MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,1986.0,2017.7.26,"Paradise, Nevada"
314,MCHP,Microchip Technology,Information Technology,Semiconductors,1989.0,2007.9.7,"Chandler, Arizona"
315,MU,Micron Technology,Information Technology,Semiconductors,1978.0,1994.9.27,"Boise, Idaho"
316,MSFT,Microsoft,Information Technology,Systems Software,1975.0,1994.6.1,"Redmond, Washington"
317,MAA,Mid-America Apartments,Real Estate,Residential REITs,1977.0,2016.12.2,"Memphis, Tennessee"
318,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,1878.0,2013.12.23,"Calhoun, Georgia"
319,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,2005.0,1976.6.30,"Denver, Colorado"
320,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012.0,2012.10.2,"Chicago, Illinois"
321,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,1997.0,2021.2.12,"Kirkland, Washington"
322,MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012.0,2012.6.28,"Corona, California"
323,MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1909.0,1900.1.0,"New York, New York"
324,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1935.0,1900.1.0,"New York, New York"
325,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,2004.0,2011.9.26,"Tampa, Florida"
326,MSI,Motorola Solutions,Information Technology,Communications Equipment,1928.0,1900.1.0,"Chicago, Illinois"
327,MSCI,MSCI,Financials,Financial Exchanges & Data,1969.0,2018.4.4,"New York, New York"
328,NDAQ,Nasdaq,Financials,Financial Exchanges & Data,1971.0,2008.10.22,"New York, New York"
329,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1992.0,1999.6.25,"Sunnyvale, California"
330,NFLX,Netflix,Communication Services,Movies & Entertainment,1997.0,2010.12.20,"Los Gatos, California"
331,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1903.0,1989.4.30,"Atlanta, Georgia"
332,NEM,Newmont,Materials,Gold,1921.0,1969.6.30,"Denver, Colorado"
333,NWSA,News Corp (Class A),Communication Services,Publishing,2013.0,2013.8.1,"New York, New York"
334,NWS,News Corp (Class B),Communication Services,Publishing,2013.0,2015.9.18,"New York, New York"
335,NEE,NextEra Energy,Utilities,Multi-Utilities,1984.0,1976.6.30,"Juno Beach, Florida"
336,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,1923.0,2013.7.9,"New York, New York"
337,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1964.0,1988.11.30,"Washington County, Oregon"
338,NI,NiSource,Utilities,Multi-Utilities,1912.0,1900.1.0,"Merrillville, Indiana"
339,NSC,Norfolk Southern,Industrials,Railroads,1881.0,1957.3.4,"Norfolk, Virginia"
340,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,1889.0,1900.1.0,"Chicago, Illinois"
341,NOC,Northrop Grumman,Industrials,Aerospace & Defense,1994.0,1985.6.30,"West Falls Church, Virginia"
342,NLOK,NortonLifeLock,Information Technology,Application Software,1982.0,2003.3.25,"Tempe, Arizona"
