,symbol,update_date,querter_sales,profit,operating,real_profit,sales,shared,next_update_date
67,ARE,200630.0,436.96,313.05,100.03,229.65,1930000000.0,155556305.0,211031.0
68,ALXN,210331.0,1636.5,1511.1,636.2,636.0,6260000000.0,221675313.0,211027.0
69,ALXN,201231.0,1591.8,1439.6,622.1,535.8,6260000000.0,221675313.0,211027.0
70,ALXN,200930.0,1588.7,1444.0,684.9,578.1,6260000000.0,221675313.0,211027.0
71,ALXN,200630.0,1444.6,1299.7,-1370.2,-1068.1,6260000000.0,221675313.0,211027.0
72,ALGN,210331.0,894.77,677.1,225.45,200.38,2820000000.0,79136575.0,211026.0
73,ALGN,201231.0,834.52,610.46,213.18,158.99,2820000000.0,79136575.0,211026.0
74,ALGN,200930.0,734.14,534.09,177.07,139.37,2820000000.0,79136575.0,211026.0
75,ALGN,200630.0,352.31,224.33,-73.0,-40.6,2820000000.0,79136575.0,211026.0
76,ALLE,210331.0,694.3,297.4,131.3,108.0,2740000000.0,89978097.0,211027.0
77,ALLE,201231.0,727.3,320.7,117.7,93.3,2740000000.0,89978097.0,211027.0
78,ALLE,200930.0,728.4,321.1,160.4,146.9,2740000000.0,89978097.0,211027.0
79,ALLE,200630.0,589.5,248.9,96.5,73.7,2740000000.0,89978097.0,211027.0
80,LNT,210331.0,901.0,,198.0,174.0,3400000000.0,250134552.0,211108.0
81,LNT,201231.0,817.0,,112.0,66.0,3400000000.0,250134552.0,211108.0
82,LNT,200930.0,920.0,,272.0,249.0,3400000000.0,250134552.0,211108.0
83,LNT,200630.0,763.1,,168.1,136.9,3400000000.0,250134552.0,211108.0
84,ALL,210331.0,12451.0,,3032.0,-1381.0,47170000000.0,299338684.0,210803.0
85,ALL,201231.0,12018.0,,3310.0,2624.0,47170000000.0,299338684.0,210803.0
86,ALL,200930.0,11500.0,,1442.0,1153.0,47170000000.0,299338684.0,210803.0
87,ALL,200630.0,11197.0,,1546.0,1250.0,47170000000.0,299338684.0,210803.0
88,GOOGL,210331.0,55314.0,31211.0,16437.0,17930.0,196680000000.0,670163793.0,211027.0
89,GOOGL,201231.0,56898.0,30818.0,15651.0,15227.0,196680000000.0,670163793.0,211027.0
90,GOOGL,200930.0,46173.0,25056.0,11213.0,11247.0,196680000000.0,670163793.0,211027.0
91,GOOGL,200630.0,38297.0,19744.0,6383.0,6959.0,196680000000.0,670163793.0,211027.0
92,GOOG,210331.0,55314.0,31211.0,16437.0,17930.0,196680000000.0,670163793.0,211027.0
93,GOOG,201231.0,56898.0,30818.0,15651.0,15227.0,196680000000.0,670163793.0,211027.0
94,GOOG,200930.0,46173.0,25056.0,11213.0,11247.0,196680000000.0,670163793.0,211027.0
95,GOOG,200630.0,38297.0,19744.0,6383.0,6959.0,196680000000.0,670163793.0,211027.0
96,MO,210331.0,6036.0,3273.0,2114.0,1424.0,25830000000.0,1850637974.0,211027.0
97,MO,201231.0,6304.0,3162.0,2642.0,1924.0,25830000000.0,1850637974.0,211027.0
98,MO,200930.0,7123.0,3718.0,455.0,-952.0,25830000000.0,1850637974.0,211027.0
99,MO,200630.0,6367.0,3339.0,2835.0,1943.0,25830000000.0,1850637974.0,211027.0
100,AMZN,210331.0,108518.0,46115.0,8865.0,8107.0,419130000000.0,504323736.0,211027.0
101,AMZN,201231.0,125555.0,46271.0,6873.0,7222.0,419130000000.0,504323736.0,211027.0
102,AMZN,200930.0,96145.0,39039.0,6194.0,6331.0,419130000000.0,504323736.0,211027.0
103,AMZN,200630.0,88912.0,36252.0,5843.0,5243.0,419130000000.0,504323736.0,211027.0
104,AMCR,210331.0,3207.0,682.0,373.0,267.0,12550000000.0,1541792948.0,211110.0
105,AMCR,201231.0,3103.0,651.0,307.0,219.0,12550000000.0,1541792948.0,211110.0
106,AMCR,200930.0,3097.0,654.0,276.0,198.0,12550000000.0,1541792948.0,211110.0
107,AMCR,200630.0,3142.7,719.5,309.9,179.1,12550000000.0,1541792948.0,211110.0
108,AEE,210331.0,1566.0,,316.0,233.0,5920000000.0,255552619.0,211028.0
109,AEE,201231.0,1328.0,,211.0,115.0,5920000000.0,255552619.0,211028.0
110,AEE,200930.0,1628.0,,494.0,367.0,5920000000.0,255552619.0,211028.0
111,AEE,200630.0,1398.0,,354.0,243.0,5920000000.0,255552619.0,211028.0
112,AAL,210331.0,4008.0,1675.0,-1315.0,-1250.0,12830000000.0,641383123.0,211027.0
113,AAL,201231.0,4028.0,1787.0,-2515.0,-2178.0,12830000000.0,641383123.0,211027.0
114,AAL,200930.0,3173.0,1102.0,-2871.0,-2399.0,12830000000.0,641383123.0,211027.0
115,AAL,200630.0,1622.0,35.0,-2486.0,-2067.0,12830000000.0,641383123.0,211027.0
116,AEP,210331.0,4281.1,,810.3,575.0,15450000000.0,499750400.0,210721.0
117,AEP,201231.0,3610.6,,570.2,435.5,15450000000.0,499750400.0,210721.0
118,AEP,200930.0,4066.4,,943.2,748.6,15450000000.0,499750400.0,210721.0
119,AEP,200630.0,3494.0,,722.7,520.8,15450000000.0,499750400.0,210721.0
120,AXP,210331.0,9198.0,6504.0,2993.0,2235.0,35590000000.0,803302859.0,211019.0
121,AXP,201231.0,9506.0,6748.0,1858.0,1438.0,35590000000.0,803302859.0,211019.0
122,AXP,200930.0,8953.0,6488.0,1364.0,1073.0,35590000000.0,803302859.0,211019.0
123,AXP,200630.0,7935.0,6118.0,622.0,257.0,35590000000.0,803302859.0,211019.0
124,AIG,210331.0,14454.0,,5070.0,3876.0,43750000000.0,858140647.0,211102.0
125,AIG,201231.0,9676.0,,-200.0,-53.0,43750000000.0,858140647.0,211102.0
126,AIG,200930.0,10221.0,,747.0,288.0,43750000000.0,858140647.0,211102.0
127,AIG,200630.0,9396.0,,-9296.0,-7928.0,43750000000.0,858140647.0,211102.0
128,AMT,210331.0,2158.5,1584.2,803.0,645.0,8210000000.000001,453796083.0,211101.0
129,AMT,201231.0,2122.5,1549.9,674.3,365.1,8210000000.000001,453796083.0,211101.0
130,AMT,200930.0,2012.9,1450.3,747.9,464.4,8210000000.000001,453796083.0,211101.0
131,AMT,200630.0,1913.0,1373.0,691.3,446.1,8210000000.000001,453796083.0,211101.0
132,AWK,210331.0,888.0,,229.0,133.0,3820000000.0,181469196.0,211102.0
