symbol,update_date,sales,profit,operating,real_profit
AEP,200930.0,4066.4,,943.2,748.6
AEP,200630.0,3494.0,,722.7,520.8
AXP,210331.0,9198.0,6504.0,2993.0,2235.0
AXP,201231.0,9506.0,6748.0,1858.0,1438.0
AXP,200930.0,8953.0,6488.0,1364.0,1073.0
AXP,200630.0,7935.0,6118.0,622.0,257.0
AIG,210331.0,14454.0,,5070.0,3876.0
AIG,201231.0,9676.0,,-200.0,-53.0
AIG,200930.0,10221.0,,747.0,288.0
AIG,200630.0,9396.0,,-9296.0,-7928.0
AMT,210331.0,2158.5,1584.2,803.0,645.0
AMT,201231.0,2122.5,1549.9,674.3,365.1
AMT,200930.0,2012.9,1450.3,747.9,464.4
AMT,200630.0,1913.0,1373.0,691.3,446.1
AWK,210331.0,888.0,,229.0,133.0
AWK,201231.0,923.0,,263.0,145.0
AWK,200930.0,1079.0,,433.0,264.0
AWK,200630.0,931.0,,313.0,176.0
AMP,210331.0,3355.0,2016.0,535.0,437.0
AMP,201231.0,3189.0,984.0,228.0,177.0
AMP,200930.0,3013.0,1805.0,-147.0,-140.0
AMP,200630.0,2730.0,1510.0,-485.0,-539.0
ABC,210331.0,49154.17,1533.38,624.35,435.27
ABC,201231.0,52516.56,1452.23,547.23,374.85
ABC,200930.0,49244.77,1346.32,-6113.14,-4846.07
ABC,200630.0,45366.78,1225.72,382.66,289.44
AME,210331.0,1215.74,426.35,293.35,219.23
AME,201231.0,1198.95,428.98,298.11,221.03
AME,200930.0,1126.94,394.24,270.74,204.58
AME,200630.0,1011.92,342.73,226.99,166.22
AMGN,210331.0,5901.0,4411.0,2129.0,1646.0
AMGN,201231.0,6634.0,5037.0,2008.0,1615.0
AMGN,200930.0,6423.0,4862.0,2453.0,2021.0
AMGN,200630.0,6206.0,4718.0,2323.0,1803.0
APH,210331.0,2377.1,727.5,464.8,329.6
APH,201231.0,2426.0,765.6,488.3,357.0
APH,200930.0,2323.4,734.9,475.8,346.6
APH,200630.0,1987.5,603.8,357.4,257.7
ADI,210501.0,1661.41,1136.64,519.69,422.9
ADI,210130.0,1558.46,1045.37,463.86,388.52
ADI,201031.0,1526.3,1023.08,461.67,386.53
ADI,200801.0,1456.14,972.58,419.12,362.67
ANSS,210331.0,363.23,301.12,50.02,72.4
ANSS,201231.0,623.69,555.78,259.39,215.63
ANSS,200930.0,366.96,313.58,90.08,75.63
ANSS,200630.0,385.66,331.8,112.81,96.56
ANTM,210331.0,32385.0,,2368.0,1665.0
ANTM,201231.0,31760.0,,802.0,551.0
ANTM,200930.0,31176.0,,587.0,222.0
ANTM,200630.0,29253.0,,3350.0,2276.0
AON,210331.0,3525.0,,1245.0,913.0
AON,201231.0,2965.0,,713.0,524.0
AON,200930.0,2385.0,,441.0,275.0
AON,200630.0,2497.0,,587.0,398.0
AOS,210331.0,769.0,288.6,126.1,97.7
AOS,201231.0,834.5,324.1,151.9,120.0
AOS,200930.0,760.0,297.1,137.3,105.4
AOS,200630.0,663.9,247.5,87.0,67.8
APA,210331.0,1871.0,1113.0,511.0,388.0
APA,201231.0,1219.0,800.0,115.0,10.0
APA,200930.0,1120.0,786.0,158.0,-4.0
APA,200630.0,752.0,442.0,-154.0,-386.0
AAPL,210327.0,89584.0,38079.0,27503.0,23630.0
AAPL,201226.0,111439.0,44328.0,33534.0,28755.0
AAPL,200926.0,64698.0,24689.0,14775.0,12673.0
AAPL,200627.0,59685.0,22680.0,13091.0,11253.0
AMAT,210502.0,5582.0,2653.0,1579.0,1330.0
AMAT,210131.0,5162.0,2349.0,1283.0,1130.0
AMAT,201025.0,4688.0,2130.0,1283.0,1131.0
AMAT,200726.0,4395.0,1955.0,1108.0,841.0
APTV,210331.0,4023.0,727.0,429.0,295.0
APTV,201231.0,4212.0,785.0,446.0,299.0
APTV,200930.0,3668.0,647.0,364.0,299.0
APTV,200630.0,1960.0,17.0,-315.0,-366.0
ADM,210331.0,18893.0,1548.0,740.0,689.0
