symbol,query,update_date
GILD,gilead-sciences-inc,210728
GL,torchmark-corp,210728
GPN,global-payments,210805
GS,goldman-sachs-group,210713
GWW,w-w-grainger-inc,210730
HAL,halliburton-co,210720
HBI,hanesbrands,210803
HIG,hartford-finl,210729
HAS,hasbro-inc,210726
HCA,hca-holdings-inc,210728
PEAK,hcp-inc,210804
HSIC,henry-schein,210810
HSY,hershey-co,210729
HES,hess-corp,210728
HPE,hewlett-packard-enterprise-co,210831
HLT,hilton-worldwide,210728
HFC,hollyfrontier-co,210804
HOLX,hologic-inc,210804
HD,home-depot,210817
HON,honeywell-intl,210716
HRL,hormel-foods-corp,210826
HST,host-hotels---res,210729
HWM,howmet-aerospace-inc,210805
HPQ,hewlett-pack,210826
HUM,humana-inc,210728
HBAN,huntgtn-bkshr,210729
HII,huntington-ingalls-industries-inc,210805
IEX,idex,210727
IDXX,idexx-laboratorie,210730
INFO,markit-ltd,210623
ITW,illinois-tool-wk-r,210726
ILMN,"illumina,-inc.",210802
INCY,incyte-corp,210803
IR,ingersoll-rand,210809
INTC,intel-corp,210729
ICE,intercontintlex,210729
IBM,ibm,210719
IP,intl-paper-co,210729
IPG,interpublic-grp,210727
IFF,intl-flav---frag,210809
INTU,intuit,210826
ISRG,intuitive-surgical-inc,210720
IVZ,invesco-ltd,210729
IPGP,ipg-photonics-corp.,210803
IQV,quintis-trl-hlgs,210728
IRM,iron-mountain-inc,210805
JKHY,jack-henry---asso,210824
J,jacobs-engineer,210809
JBHT,j.b.-hunt-transpo,210716
SJM,jm-smucker-co,210831
JNJ,johnson-johnson,210721
JCI,johnson-controls,210805
JPM,jp-morgan-chase,210713
JNPR,juniper-networks-inc,210729
KSU,kansas-city-southern-inc,210720
K,kellogg-co.,210805
KEY,keycorp-new,210720
KEYS,keysight-technologies,210825
KMB,kimberly-clark,210723
KIM,kimco-realty,210729
KMI,kinder-morgan,210721
KLAC,kla-tencor-corp,210804
KHC,kraft-foods-inc,210805
KR,kroger-co,210916
LB,limited-brands,210818
LHX,harris-corporation,210730
LH,laboratory-corp-of-amer,210728
LRCX,lam-research-corp,210804
LW,lamb-weston-holdings-inc,210727
LVS,las-vegas-sands,210728
LEG,leggett---platt,210802
LDOS,leidos-holdings,210729
LEN,lennar,211006
LLY,eli-lilly-and-co,210803
LNC,lincoln-natl,210804
LIN,linde-plc?cid=942017,210805
LYV,live-nation-entertainment-inc,210729
LKQ,lkq,210729
LMT,lockheed-martin,210727
L,loews-corporation,210802
LOW,lowes-companies,210818
LUMN,centurylink,210811
LYB,lyondellbasell-industries,210730
MTB,m-t-bank-corp,210721
MRO,marathon-oil,210804
MPC,marathon-petroleum-corp.,210729
MKTX,marketaxess-holdi,210728
MAR,marriott-intl,210809
MMC,marsh---mclennan,210729
MLM,martin-marietta-materials-inc,210803
MAS,masco-corp,210803
MA,mastercard-cl-a,210729
MKC,mccormick---co,210631
MXIM,maxim-integrated,210729
MCD,mcdonalds,210727
MCK,mckesson-corp,210729
MDT,medtronic,210824
MRK,merck---co,210729
MET,metlife-inc,210804
MTD,mettler-toledo-international-inc,210729
MGM,mgm-mirage,210805
MCHP,microchip-technology-inc,210809
MU,micron-tech,210630
MSFT,microsoft-corp,210722
MAA,mid-america-apartment-communities,210728
MHK,mohawk-industries,210729
TAP,molson-coors,210728
MDLZ,mondelez-international-inc,210803
MPWR,monolithic-power,210728
MNST,monster-beverage,210810
MCO,moodys-corp,210716
MS,morgan-stanley,210715
MOS,mosaic-company,210802
MSI,motorola-inc,210805
MSCI,msci-inc,210805
NDAQ,nasdaq-omx-group,210728
NTAP,network-appliance-inc,210825
NFLX,"netflix,-inc.",210719
NWL,newell-rubber,210730
NEM,newmont-mining,210729
NWSA,news-corp.,210812
NWS,news-corporation,210812
NEE,nextera-energy-inc,210728
NLSN,nielsen-holdings-nv,210729
NKE,nike,210624
NI,ni-source-inc,210804
NSC,norfolk-southern,210728
NTRS,northern-trust,210728
NOC,northrop-grumman,210728
NLOK,symantec-corp,210805
NCLH,norwegian-cruise-line-holdings-ltd,210812
NOV,ntl-oilwell-varc,210727
NRG,nrg-energy-inc,210811
NUE,nucor,210722
NVDA,nvidia-corp,210812
NVR,nvr-inc,210716
NXPI,nxp-semiconductors,210802
ORLY,oreilly-automotive,210728
OXY,occidental-petro,210804
ODFL,old-dominion-freight-line-inc,210729
OMC,omnicom-gp-inc,210721
OKE,oneok,210803
ORCL,oracle-corp,210916
OTIS,otis-worldwide-corp,210803
PCAR,paccar-inc,210727
PKG,packaging-corp,210728
PH,parkerhannifin,210805
PAYX,paychex-inc,210625
PAYC,paycom-soft,210803
PYPL,paypal-holdings-inc,210728
PENN,penn-national-gaming-inc,210729
PNR,pentair,210729
PBCT,peoples-united-financial,210722
PEP,pepsico,210713
PKI,perkinelmer,210805
PRGO,perrigo-co,210812
PFE,pfizer,210803
PM,philip-morris-intl,210720
PSX,phillips-66-ltd,210723
PNW,pinnacle-west,210805
PXD,pioneer-natural-resources,210810
PNC,pnc-fin-serv,210714
POOL,pool-corp,210722
PPG,ppg-industries,210722
PPL,ppl-corp,210810
PFG,principal-fin,210727
PG,procter-gamble,210730
PGR,the-progressive,210721
PLD,prologis,210720
PRU,prudential-fin,210803
PTC,ptc,210721
PEG,publ-svc-enter,210805
PSA,public-stg-mld,210728
PHM,pulte-homes-inc,210729
PVH,pvh,210825
QRVO,qorvo-inc,210804
PWR,quanta-services,210805
QCOM,qualcomm-inc,210728
DGX,quest-diag,210727
RL,polo-ralph-laur,210811
RJF,raymond-james-financial-inc,210728
RTX,united-tech,210803
O,realty-income,210728
REG,regency-centers-corp,210805
REGN,regeneron-phar.,210805
RF,regions-fin,210723
RSG,republic-services-inc,210729
RMD,resmed-inc,210805
RHI,robert-half-intl,210727
ROK,rockwell-automat,210728
ROL,rollins-inc,210728
ROP,roper-industries,210729
ROST,ross-stores-inc,210826
RCL,royal-caribbean,210803
SPGI,mcgraw-hill,210729
CRM,salesforce-com,210826
SBAC,sba-communications-corp,210802
SLB,schlumberger-ltd,210716
STX,seagate-technology,210730
SEE,sealed-air,210811
SRE,sempra-energy,210730
NOW,servicenow-inc,210728
SHW,sherwinwilliams,210727
SPG,simon-prop-grp,210803
SWKS,skyworks-solutions-inc,210722
SNA,snapon-inc,210722
SO,southern-co,210804
LUV,sth-west-airlines,210722
SWK,stanley-works,210805
SBUX,starbucks-corp,210727
STT,state-street,210728
STE,steris-corp,210803
SYK,stryker,210729
SIVB,svb-financial-gro,210722
SYF,synchrony-fin,210716
SNPS,synopsys-inc,210825
SYY,sysco-corp,210816
TMUS,metropcs-communications,210729
TROW,t-rowe-price-gp,210729
TTWO,take-two-interactive,210805
TPR,coach,210819
TGT,target,210818
TEL,te-connectivity,210728
TDY,teledyne-technologies-inc,210805
TFX,teleflex-inc,210805
TER,teradyne-inc,210727
TSLA,tesla-motors,210804
TXN,texas-instru,210727
TXT,textron-inc,210721
TMO,thermo-fisher-sc,210728
TJX,tjx-co-inc,210824
TSCO,tractor-supply-company,210719
TT,trane-technologies-plc,210728
TDG,transdigm-group-inc,210810
TRV,the-travelers-co,210727
TRMB,trimble-navigation-ltd,210804
TFC,bb-t-corp,210715
TWTR,twitter-inc,210722
TYL,tyler-technologies-inc,210728
TSN,tyson-foods,210809
UDR,udr,210803
ULTA,ulta-salon-cosmetics---fragrance,210826
USB,us-bancorp,210715
UAA,under-armour,210803
UA,under-armour-c,210803
UNP,union-pacific,210722
UAL,united-continenta,210720
UNH,united-health-group,210720
UPS,united-parcel,210727
URI,united-rentals,210721
UHS,universal-health-services,210727
UNM,unum-group,210803
VLO,valero-energy,210729
VTR,ventas-inc,210723
VRSN,verisign-inc,210729
VRSK,verisk-analytics-inc,210803
VZ,verizon-communications,210721
VRTX,vertex-pharm,210728
VFC,vf-corp,210716
VIAC,viacom-cl-b,210812
VTRS,mylan-inc,210812
V,visa-inc,210728
VNO,vornado-realty,210802
VMC,vulcan-matrls,210803
WRB,wr-berkley-corp,210727
WAB,westinghouse-air-brake-tech,210727
WMT,wal-mart-stores,210817
WBA,walgreen-co,210631
DIS,disney,210810
WM,waste-managemnt,210728
WAT,waters-corp,210727
WEC,wisconsin-energy-corp,210803
WFC,wells-fargo,210714
WELL,health-care-reit,210804
WST,west-pharmaceutical-services-inc,210729
WDC,western-digital,210729
WU,western-union,210805
WRK,westrock-co,210805
WY,weyerhaeuser,210730
WHR,whirl-pool-corp,210721
WMB,williams-cos,210804
WLTW,willis-group-holdings-plc,210805
WYNN,wynn-resorts-ltd,210728
XEL,xcel-energy,210805
XLNX,xilinx-inc,210728
XYL,xylem,210805
YUM,yum!-brands-inc,210805
ZBRA,zebra-tech,210803
ZBH,zimmer-hldgs,210729
ZION,zions-bancorp,210719
ZTS,zoetis-inc,210719
